Species,Latitude,Longitude,Location,Reference
Selenidium terebellae (AY196709) ,48.836155044933,-125.136145733413,"Grappler Inlet, Vancouver Island, Canada ","Leander et al., 2003 "
Selenidium melongena (KC890799) ,48.403156,-123.350539,"Clover Point, Victoria, British Columbia, Canada ","Wakeman et al., 2014 "
Selenidium planusae (MN381958) ,43.209239,140.858519,"Oshoro Bay, Hokkaido, Japan","Wakeman et al., 2020 "
Selenidium fallax (MF882905) ,48.7281651637264,-3.98771722869486,"English Channel, France ","Rueckert et al., 2017 "
Selenidium pisinnus (FJ832162) ,48.836155044933,-125.136145733413,"Grappler Inlet, Vancouver Island, Canada ","Rueckert et al., 2009 "
Selenidium pyroidea (MN381957) ,43.209239,140.858519,"Oshoro Marine Station, Oshoro, Hokkaido, Japan","Wakeman et al., 2020 "
Selenidium orientale (FJ832161) ,48.3569707145448,-123.725823279835,"Whiffen Spit Point, Sooke, Vancouver Island, Canada ","Rueckert et al., 2009 
 "
Selenidium sensimae (KC110869) ,49.2961869743423,-122.978084591309,"Burnaby, British Columbia, Canada ","Wakeman et al., 2013 "
Selenidium pendula (LN901443) ,48.412806,-123.390186,Ogden Point,"Wakeman et al., 2013 "
Selenidium pygospionis (MH061278) ,66.3,33.616667,"Chupa Inlet, Kandalaksha Bay, White Sea","Paskerova et al., 2018 "
Selenidium validusae (MN381959) ,43.209239,140.858519,"Oshoro Bay, Hokkaido, Japan","Wakeman et al., 2020 
 "
Selenidium c.f. axiferens (MH697737) ,-42.333333,-64.583333,"Puerto Madryn, Chubut, Argentina ","Rueckert et al., 2018 "
Selenidium patagonica (MH697736) ,-42.333333,-64.583333,"Puerto Madryn, Chubut, Argentina ","Rueckert et al., 2018"
Selenidium hollandei (LN901445) ,48.7281651637264,-3.98771722869486,"English Channel, France ","Schrével et al., 2016 "
Caliculium glossobalani (KC890798) ,26.482911,127.837292,"Onna, Okinawa, Japan","Wakeman et al., 2014b"
Ophryocystis sitonae (OK316957) ,40.9882102472926,37.8866059116299,"Ordu Province, Turkey","Yıldırım et al., 2022 "
Polyplicarium translucidae (JX535351) ,49.0126378870455,-123.033948686615,"Boundary Bay, Tsawwassen (Vancouver), British Columbia, Canada ","Wakeman et al., 2013b "
Polyplicarium citrusae (JX535339) ,49.27293785691,-123.194340320458,"Jericho Beach, Vancouver, British Columbia, Canada ","Wakeman et al., 2013b "
Trollidium akkeshiense (MN381955) ,43.209239,140.858519,"Oshoro Bay, Hokkaido, Japan","Wakeman et al., 2020 "
Ganymedes sp. (FJ976721) ,70.3903692682703,-129.172275983202,south-eastern Beaufort Sea (Canadian Arctic Ocean) ,"Prokopowicz et al., 2010 "
Ganymedes yurii (KU726617) ,-63.7786878028732,-57.7766690033026,"Cape Lachman, James Ross Island, Weddell Sea, Antarctica ","Diakin et al., 2017 "
Heliospora caprellae (HQ876007) ,48.816389,-125.155278,"Bamfield Inlet, Vancouver Island, Canada ","Rueckert et al., 2011 "
Thiriotia hyperdolphinae (MG009199) ,35,139.216667,"Sagami Bay, Japan at a depth of 855 m ","Wakeman et al., 2018 "
Thiriotia pugettiae (HQ876006) ,48.857785387709,-125.159576576116,"Wizard Islet, Vancouver Island, Canada ","Ruecker et al., 2011 "
Thiriotia sp. (LC034108) ,35,139.216667,"Sagami Bay, Japan at a depth of 855 m ",unpublished
Cephaloidophora cf. communis (HQ891113) ,48.8623306483794,-125.107929943626,"Ellis Islet, Vancouver Island, Canada ","Rueckert et al., 2011 "
Cephaloidophora cf. flava (MT112170) ,31.052697,131.634175,"Kagoshima, Japan","Wakeman et al., 2021 "
Cephaloidophora oradareae (MG009200) ,35,139.216667,"Sagami Bay, Japan at a depth of 855 m ","Wakeman et al., 2018 "
Cephaloidophora bipinnatae. (MT112171) ,31.052697,131.634175,"Kagoshima, Japan","Wakeman et al., 2021 
 "
Paralecudina polymorpha (AY196706) ,48.836155044933,-125.136145733413,"Grappler Inlet, Vancouver Island, Canada ","Leander et al., 2003 "
Paralecudina polymorpha (FJ832158) ,48.836155044933,-125.136145733413,"Grappler Inlet, Vancouver Island, Canada ","Rueckert et al., 2010 "
Veloxidium leptosynaptae (JN857966) ,48.836155044933,-125.136145733413,"Grappler Inlet, Vancouver Island, Canada ","Wakeman et al., 2012 "
Lithocystis sp. (DQ093795) ,48.8992359615428,-125.270970794788,"Barkley Sound, Vancouver Island, Canada","Leander et al., 2006 "
Pterospora floridiensis (DQ093794) ,30.1311087963984,-85.6982866721603,"St. Andrew Bay, Florida, USA","Leander et al., 2006 
 "
Pterospora schizosoma (DQ093793) ,48.5205911368348,-123.014783241458,"Argyle Lagoon, San Juan Island, Washington, USA","Leander et al., 2006 "
Lecudina caspera (KY678215) ,48.403156,-123.350539,"Clover Point, Victoria, British Columbia, Canada ","Iritani et al., 2018 "
Lecudina longissima (FJ832157) ,48.836155044933,-125.136145733413,"Grappler Inlet, Vancouver Island, Canada ","Rueckert et al., 2009"
Lankesteria abbotti (DQ093796) ,48.836155044933,-125.136145733413,"Grappler Inlet, Vancouver Island, Canada ","Leander et al., 2006 "
Lecudina pellucida (LN901442) ,48.7281651637264,-3.98771722869486,"English Channel, France ","Schrevel et al., 2016 "
Difficilina tubulani (FJ832160) ,48.3569707145448,-123.725823279835,"Whiffen Spit Point, Sooke, Vancouver Island, Canada ","Rueckert et al., 2009 "
Difficilina paranemertes (FJ832159) ,48.3569707145448,-123.725823279835,"Whiffen Spit Point, Sooke, Vancouver Island, Canada ","Rueckert et al., 2009 
 "
Urospora ovalis (KR868712) ,66.3,33.616667,"Chupa Inlet, Kandalaksha Bay, White Sea","Diakin et al., 2016 
 "
Urospora travisiae (KR868713) ,66.3,33.616667,"Chupa Inlet, Kandalaksha Bay, White Sea","Diakin et al., 2016 
 "
Lecudina phyllochaetopterus (FJ832156) ,48.857785387709,-125.159576576116,"Wizard Islet, Vancouver Island, Canada ","Rueckert et al., 2009"
Lankesteria herperidiformis (KR024700) ,48.857785387709,-125.159576576116,"Wizard Islet, Vancouver Island, Canada ","Rueckert et al., 2015 "
Lankesteria didemni (KR024692) ,48.834167,-125.136944,"Bamfield Marine Science Centre, British Columbia, Canada ","Rueckert et al., 2015 "
Lankesteria cystodytae (JF264840) ,48.857785387709,-125.159576576116,"Wizard Islet, Vancouver Island, Canada ","Rueckert et al., 2008 
 "
Lankesteria chelyosomae (JF264838) ,48.857785387709,-125.159576576116,"Wizard Islet, Vancouver Island, Canada ","Rueckert et al., 2008 "
Lankesteria ascidiae (JX187607) ,35,139.216667,"Sagami Bay, Japan at a depth of 855 m ","Mita et al., 2012 "
Lankesteria savignyii (MW748136) ,-41.2601781674017,173.281433553257,"Nelson Marina, Nelson, New Zealand","Iritani et al., 2021 "
Lankesteria herdmaniae (KR024697) ,48.834167,-125.136944,"Bamfield Marine Science Centre, British Columbia, Canada ","Rueckert et al., 2015 
 "
Lankesteria kaiteriteriensis (MW748138) ,-41.0368457911837,173.018157891923,"Kaiteriteri Beach, Kaiteriteri, New Zealand","Iritani et al., 2021 
 "
Lankesteria dolabra (MW748137) ,-41.2672888042921,174.037850632414,"Waikawa Marina, Marlborough, New Zealand","Iritani et al., 2021 "
Lankesteria metandrocarpae (KR024699) ,48.834167,-125.136944,"Bamfield Marine Science Centre, British Columbia, Canada ","Rueckert et al., 2015 
 "
Lankesteria cf. ritterellae (KR024695) ,48.834167,-125.136944,"Bamfield Marine Science Centre, British Columbia, Canada ","Rueckert et al., 2015 
 "
